gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
780,0,1,0,0,False
-725,-1,1,0,0,False
791,4,1,0,1,True
-2105,-3,1,0,0,False
-1376,-4,0,1,1,True
171,0,1,1,0,False
5333,11,0,1,1,True
-3781,-8,1,0,0,False
1581,1,0,1,1,False
3224,8,0,1,0,True
2593,3,0,1,1,True
574,3,1,1,0,False
-1130,-3,1,0,0,False
1808,4,0,0,1,True
1441,3,0,1,0,True
1880,5,0,1,1,True
702,2,1,1,0,True
-2169,-4,1,0,0,False
-57,0,0,1,0,True
2391,4,0,0,1,True
-483,-1,1,0,0,True
431,1,0,0,1,True
-1082,-3,1,0,0,False
-1149,-2,0,0,1,True
-2800,-5,1,1,0,False
-3935,-7,1,0,0,False
-1066,-2,0,0,1,False
-261,0,1,0,0,True
-419,-3,0,0,0,False
2346,5,0,1,1,True
721,2,1,0,0,False
-347,0,0,1,1,True
3294,1,0,0,1,False
-958,-1,1,0,0,False
-3205,-5,1,0,0,False
1380,4,0,1,0,True
-1947,-5,1,0,0,False
900,3,0,1,1,True
1355,3,0,1,1,True
655,1,0,0,0,True
-280,-2,0,0,0,True
-2616,-6,1,0,0,False
-2232,-4,1,1,0,True
2821,5,0,0,0,True
34,1,1,1,0,False
-2901,-6,0,1,0,True
1245,2,0,0,0,False
2067,4,1,1,1,False
1292,1,0,1,1,True
477,1,0,0,1,False
-1768,-5,1,1,1,True
170,3,0,1,0,False
-1624,0,1,1,1,True
-786,0,1,1,0,False
-1294,1,0,0,1,True
388,1,0,1,1,True
798,1,0,0,0,False
794,-2,0,0,1,True
-811,-3,1,0,1,True
979,0,0,1,1,True
3031,6,0,0,0,True
1086,-2,0,0,1,False
-2683,-6,1,1,0,False
645,2,0,1,1,False
3707,6,0,1,1,True
98,0,1,1,0,False
34,1,1,1,0,False
2667,5,0,1,1,True
-206,-2,0,0,1,True
-265,-6,0,0,0,False
1305,-1,0,0,0,True
-2259,-2,1,0,0,False
-369,-3,1,0,0,False
245,0,0,0,1,True
-1726,-4,1,0,0,True
306,1,0,1,1,True
961,2,0,0,1,True
369,1,1,0,1,False
406,3,0,1,0,True
870,3,0,1,1,True
1122,1,0,0,0,True
-1018,-2,0,1,1,False
-2769,-5,1,0,0,True
-529,-2,1,0,0,False
3644,7,1,0,0,False
-1072,-3,1,0,0,False
-701,1,1,0,0,False
-881,1,0,0,1,True
-982,0,1,1,0,False
-1799,-6,1,0,0,False
883,3,0,1,0,True
-1956,-5,0,1,1,True
920,0,1,0,0,False
-779,-3,1,0,1,True
-1191,-4,1,0,0,False
1984,1,0,1,1,True
-119,-3,0,1,1,False
283,1,0,1,0,True
-692,-2,0,1,1,True
1624,4,1,1,0,True
567,0,0,0,1,False
977,4,1,1,0,True
1966,0,0,1,1,True
2212,4,1,1,0,False
-2473,-2,1,0,0,False
1055,1,1,1,1,False
175,-1,1,0,0,False
3034,6,0,0,0,True
-5761,-11,1,0,0,False
1179,3,0,0,1,True
-412,-2,1,0,0,False
644,2,1,1,0,False
2809,5,0,1,1,True
1286,2,0,0,1,True
5318,8,0,1,0,True
2232,5,0,1,1,True
2109,5,0,1,1,False
1118,3,0,1,1,False
-2138,-5,0,1,0,False
3553,5,0,1,1,True
-1782,-2,1,1,1,True
4743,13,0,1,1,False
3269,5,0,0,1,False
1616,6,1,1,0,True
3869,12,0,1,1,True
2542,3,0,1,1,True
2660,6,0,1,1,True
-2046,-3,1,1,1,False
735,0,0,0,1,True
-999,-4,1,1,1,False
1615,4,0,0,1,True
-1399,-3,1,0,1,False
39,1,0,0,1,False
-602,-1,1,1,1,True
74,1,1,0,1,False
-547,0,0,1,1,True
-1230,-3,1,0,0,False
4301,8,0,0,1,True
-2588,-5,0,1,0,False
1514,4,1,1,1,True
1434,2,1,1,1,True
2281,6,0,1,0,True
-2279,-5,0,1,1,True
363,3,1,0,1,False
1081,4,0,0,1,False
1971,4,1,1,1,False
66,1,0,0,0,False
-528,-1,0,0,0,False
1784,5,0,0,1,True
4405,5,0,1,1,True
1726,4,0,0,0,True
-638,-2,1,1,0,False
-1325,-4,0,1,1,True
-790,1,1,0,1,False
910,4,1,1,1,True
-787,-1,1,1,1,False
2955,8,0,1,1,False
-1542,-2,1,1,0,False
-64,2,0,1,1,True
668,-1,1,1,1,False
203,-3,0,0,0,False
2318,5,0,1,1,True
2812,5,1,0,1,False
-681,-2,1,1,1,False
1607,4,0,1,0,False
-2777,-6,1,0,0,True
-1798,-3,1,1,1,False
-441,-2,1,1,1,False
4249,8,0,1,1,True
-1417,0,1,1,0,False
-3236,-5,1,0,0,False
1363,3,0,0,1,True
190,0,0,0,1,True
-1302,-4,1,1,0,False
962,5,0,1,0,True
367,2,0,1,1,True
-360,-3,1,0,0,False
283,0,1,1,1,True
-3576,-7,1,0,0,False
3377,6,0,1,1,True
1,0,1,1,0,False
1824,2,0,1,1,True
-3722,-8,1,0,0,False
3468,4,0,1,1,True
973,5,1,1,0,True
-619,0,1,1,0,True
-1406,-5,1,0,1,True
1746,4,0,1,0,True
-2572,-4,0,0,0,True
5176,8,0,1,1,True
-2246,-7,1,0,0,False
616,-1,0,0,1,False
-25,2,0,1,0,True
-367,-1,1,0,0,False
2343,4,0,1,0,True
-646,-2,1,1,0,False
113,-2,0,0,1,True
3857,5,0,0,0,True
375,2,1,0,0,False
489,-1,0,0,0,False
422,-2,1,0,1,True
567,2,1,1,1,False
3418,7,0,1,0,True
-1176,-4,0,1,0,True
2857,6,0,1,1,True
-1816,-3,1,0,0,False
544,2,0,0,1,True
1080,4,1,1,1,True
-764,-1,1,0,0,False
762,2,1,1,0,True
2378,4,0,1,0,True
-115,0,1,0,0,False
-1144,-2,0,1,0,False
-3000,-5,1,0,0,False
165,0,1,0,0,False
-1192,-1,1,1,1,False
10,-2,0,1,1,True
-2153,-3,0,1,1,True
220,-1,0,1,1,False
-281,1,0,1,1,False
-1075,-1,1,0,0,True
2496,3,0,1,1,True
1438,3,1,1,1,False
758,3,1,1,1,True
471,2,0,1,0,True
-332,0,1,1,0,False
1267,2,0,1,0,True
-887,-2,1,1,0,True
1599,3,0,1,1,True
1424,2,0,0,1,True
-2084,-2,1,0,1,False
-3775,-6,1,0,0,False
2004,4,0,0,0,True
110,0,0,1,0,False
-41,0,0,0,0,True
2210,3,0,0,1,True
-1765,-3,0,0,0,False
710,2,1,0,1,True
-2092,-5,1,0,0,False
-2317,-2,1,0,0,False
-1679,-2,0,0,1,True
-1531,-3,1,0,0,False
1548,2,0,0,1,True
2080,3,0,1,0,True
332,2,1,0,1,True
232,0,1,1,0,False
1383,2,1,0,1,True
-6,1,0,0,0,True
-1713,-2,1,0,0,False
-795,0,0,0,1,False
-2777,-6,1,0,0,False
2257,7,0,0,1,True
1573,3,0,1,0,False
1681,4,0,1,1,True
-464,-1,1,1,0,False
-3410,-7,1,0,0,False
-105,-3,0,0,1,False
748,1,0,1,1,True
490,1,0,1,1,True
-2099,-6,1,1,0,False
3732,10,0,1,1,True
2828,7,0,1,1,True
-2971,-6,1,0,0,False
-1442,-3,1,0,1,False
1330,3,1,0,0,False
215,0,1,0,0,True
-40,-2,0,1,0,True
497,0,0,0,0,False
-3480,-5,1,0,0,False
-698,-1,0,0,0,False
-1698,-3,0,0,1,True
3043,5,0,0,1,True
2512,4,0,1,0,True
-1643,-3,1,0,0,False
-550,-1,0,1,0,True
1543,5,0,1,0,False
-1075,-4,1,1,0,False
-291,-1,0,1,0,True
-1051,-2,1,1,1,False
-540,1,0,1,1,True
-1145,-4,0,0,0,True
-823,-5,0,0,0,True
-1078,-1,0,1,1,True
-1692,-4,1,0,1,False
-750,-1,0,0,0,True
-1233,-3,0,1,0,False
-449,-3,0,0,1,False
1514,3,0,1,1,True
-517,-2,0,1,1,True
839,3,0,0,1,True
126,-1,0,1,0,True
2172,3,1,0,1,True
-196,0,0,0,1,True
-3254,-8,1,1,1,True
-55,-2,0,1,1,True
1130,6,1,0,1,False
545,0,1,0,0,True
-40,0,0,0,0,False
1109,2,0,0,1,False
-477,-1,0,1,1,True
-2342,-6,0,0,1,False
3647,6,0,1,1,True
737,1,0,0,1,True
744,-1,0,1,1,True
716,0,0,0,0,False
2174,3,1,0,1,True
664,2,0,1,1,True
-544,1,1,0,0,False
-2260,-4,1,0,1,True
709,3,0,1,0,True
3552,5,0,0,1,True
-544,1,0,1,0,True
-963,0,1,0,0,False
-1517,-3,1,1,1,False
1933,4,0,1,1,True
-1404,-2,1,0,0,False
947,1,1,1,1,False
-1322,-1,1,0,0,False
-422,0,1,0,1,False
2484,5,0,1,0,False
-2073,-4,0,0,0,True
-3460,-8,1,0,0,False
-826,-3,1,0,0,False
385,2,0,1,0,True
3712,8,0,1,1,True
3183,7,0,1,1,True
891,1,0,0,1,True
1458,5,0,1,1,True
3908,8,0,1,0,True
3844,8,0,1,1,True
-165,2,0,1,1,True
-4370,-9,1,1,1,False
-473,-1,0,1,0,False
1291,3,0,1,0,False
3286,8,0,0,1,True
-3777,-8,1,0,0,False
652,1,1,0,1,False
-56,3,1,1,1,True
-514,-1,1,0,0,False
307,1,0,0,1,True
3424,6,0,0,0,True
-5559,-10,1,0,0,False
1126,2,0,0,0,True
6213,11,0,1,1,True
37,2,0,1,0,False
2250,5,0,1,1,True
2455,6,0,0,0,False
499,1,0,1,1,True
-548,-5,1,0,1,False
1463,2,1,0,1,False
1648,0,0,1,0,True
619,2,0,1,1,True
1399,2,1,1,0,False
1680,2,1,0,1,True
2094,4,0,0,1,False
577,2,0,1,0,True
1626,4,0,1,1,True
1946,4,0,0,1,True
1547,2,0,1,0,True
2064,3,0,1,1,True
-3107,-4,0,0,1,False
-2980,-7,0,1,0,False
-3092,-6,0,1,0,False
-383,-3,0,0,0,True
1902,3,0,1,1,True
-757,-2,0,0,0,False
-472,2,1,0,0,False
-1023,-2,1,0,0,False
-125,0,0,0,0,True
228,1,0,0,0,False
3672,6,0,1,1,True
-268,0,0,0,1,False
-246,-2,1,1,0,False
88,-1,0,0,0,True
-595,1,1,1,0,True
-67,-1,0,0,1,True
-775,1,0,1,0,False
-4669,-10,1,0,0,False
1967,2,0,1,1,True
2821,6,0,0,1,True
-1236,-1,1,0,0,False
-5096,-9,1,0,0,False
-1280,-4,1,0,0,False
-1934,-2,1,0,1,True
-752,-1,1,1,0,False
845,0,1,1,0,False
277,2,1,0,1,True
3343,5,0,1,0,True
-6278,-12,1,0,0,False
436,0,0,1,1,True
-2515,-6,1,0,0,True
-3101,-4,1,1,0,False
658,2,1,1,0,False
5115,13,0,1,1,True
-3234,-4,0,1,1,False
-1981,-3,0,0,0,False
67,1,0,0,0,True
1502,1,0,0,0,False
-1222,-1,0,0,1,True
2529,6,0,1,1,True
-1357,-3,1,0,1,False
-1545,-4,1,1,1,True
-780,-2,0,1,0,False
61,-1,0,0,1,True
-1420,-4,1,0,0,True
