gold_diff,kill_diff,my_team_win
2821,6,False
-401,0,False
3300,6,False
1476,4,True
1178,2,False
2719,5,True
-1418,-3,True
-3479,-7,False
5491,10,True
4554,11,True
753,2,True
114,1,False
-1717,-5,False
1618,4,True
-3035,-5,False
78,-2,False
1054,1,True
3555,9,True
-619,-1,True
532,1,True
2151,4,False
-1691,-1,False
-288,2,False
-617,-1,True
1064,1,False
-395,-1,True
668,3,True
-580,-2,False
817,1,True
-117,1,True
3305,7,True
4260,8,False
-876,-1,False
3153,5,True
1849,-1,True
-2499,-6,False
-289,-3,True
-543,0,True
-1933,-1,False
2961,3,True
762,2,True
-3694,-6,False
3257,3,True
-553,0,False
1275,4,True
-584,-2,False
-2871,-7,False
-2979,-6,False
2280,5,True
338,-1,True
1973,2,True
1918,0,False
2286,6,True
-3042,-3,True
441,1,True
-1795,-2,False
-627,-2,False
2825,6,True
988,2,True
308,0,True
-1433,-1,False
-104,0,False
3852,7,True
-1021,-2,False
-1184,-2,False
-860,-5,False
-1805,-2,True
-72,0,False
-3468,-9,False
-1285,-4,False
921,2,False
-2292,-5,False
1016,5,False
2650,4,False
-1314,-2,True
-1349,-1,False
4773,9,True
1009,2,True
-1980,-2,False
-2327,-3,False
2158,5,False
3026,4,True
-800,-2,True
-2919,-5,False
-3075,-5,True
708,-1,False
-122,-2,True
2927,5,True
-1123,-3,False
-866,-1,False
-1125,-4,False
781,1,False
-932,-3,False
238,1,True
449,4,True
-2660,-5,False
876,1,True
1280,1,True
-1647,-2,True
93,1,False
293,1,True
-1381,-5,True
-1570,-4,False
-1784,-3,True
-1725,-2,True
-1825,-4,False
36,2,True
3430,4,True
874,2,False
-490,-1,False
-3637,-9,False
1721,2,True
-337,1,False
764,3,False
-400,-3,False
1792,3,True
-2312,0,False
112,1,False
3251,8,True
1495,2,True
-1759,-5,False
1091,3,True
-2849,-4,True
-2661,-6,True
-3223,-5,False
4347,10,True
-502,-1,True
1508,4,True
-1888,-3,False
-3815,-8,False
-3867,-8,False
-3464,-9,False
-1848,-4,True
-922,-3,True
-2066,-1,False
4302,10,True
3722,8,True
1375,3,True
2112,3,True
3489,10,True
611,2,True
-6232,-10,False
773,2,True
2429,5,False
-3697,-6,False
1029,1,True
-1724,-6,False
-395,-3,True
-1950,-2,False
-1348,-3,False
680,3,True
-5278,-11,False
-167,-3,True
-286,0,True
-3018,-6,False
260,-1,True
-2567,-4,False
1209,1,False
1970,4,False
2491,4,True
4673,11,True
-1719,-4,False
1199,0,True
-757,-1,True
-1117,1,True
-891,-2,False
-3326,-4,False
-551,-1,True
-394,0,False
-2060,-4,False
314,1,False
4249,7,True
1596,0,True
1717,2,False
1936,1,True
-1932,-3,False
-111,1,True
3154,4,True
-2558,-6,True
-793,-1,False
-989,-4,False
-1194,-4,True
1363,4,False
-965,-2,True
646,1,True
1621,5,False
597,2,False
1800,5,True
3456,6,True
-1579,-5,False
-1388,-1,False
3592,10,True
-1185,2,False
-423,-2,False
1140,4,True
1730,2,True
879,0,True
2237,4,True
-212,0,False
107,1,False
-1105,-2,True
-656,1,False
-1223,-2,True
-2622,-4,False
-264,-1,False
-1470,-5,False
642,2,True
-2219,-4,False
-160,-2,True
-2674,-6,False
3891,8,True
-543,-3,False
-1067,-3,True
1585,3,False
848,4,False
-654,-2,True
-19,-1,False
1303,2,False
3752,9,True
-4763,-9,False
1305,5,True
-1659,-2,True
